VOLCANX020,NUMBER,NAME,LOCATION,STATUS,ELEV,TYPE,SbUnitID,TIMEFRAME,LAT,LON
3,,LEWISBURG,W,83709,12306,12306 W LEWISBURG,,Boise,43.594454,-116.3356929
2,,LEWISBURG,W,83709,12273,12273 W LEWISBURG,,Boise,43.59426183,-116.3352192
4,,LEWISBURG,W,83709,12449,12449 W LEWISBURG,,Boise,43.59432388,-116.3375559
4,,LEWISBURG,W,83709,12431,12431 W LEWISBURG,,Boise,43.59424176,-116.3372891
4,,LEWISBURG,W,83709,12415,12415 W LEWISBURG,,Boise,43.59420339,-116.3370091
3,,LEWISBURG,W,83709,12331,12331 W LEWISBURG,,Boise,43.59420888,-116.3359382
3,,LEWISBURG,W,83709,12397,12397 W LEWISBURG,,Boise,43.5941955,-116.336742
3,,LEWISBURG,W,83709,12353,12353 W LEWISBURG,,Boise,43.59419816,-116.336225
3,,LEWISBURG,W,83709,12375,12375 W LEWISBURG,,Boise,43.59418756,-116.3364862
3,,LEWISBURG,W,83709,12309,12309 W LEWISBURG,,Boise,43.59419187,-116.3356456
2,,LEWISBURG,W,83709,12285,12285 W LEWISBURG,,Boise,43.59419722,-116.3354114
5,,CAMAS,W,83709,12554,12554 W CAMAS,,Boise,43.59443644,-116.3387432
5,,CAMAS,W,83709,12590,12590 W CAMAS,,Boise,43.59443114,-116.3391064
5,,CAMAS,W,83709,12503,12503 W CAMAS,,Boise,43.59438675,-116.3381369
5,,CAMAS,W,83709,12525,12525 W CAMAS,,Boise,43.59425542,-116.3383734
5,,CAMAS,W,83709,12591,12591 W CAMAS,,Boise,43.59419516,-116.3391858
5,,CAMAS,W,83709,12547,12547 W CAMAS,,Boise,43.59419825,-116.3385857
5,,CAMAS,W,83709,12569,12569 W CAMAS,,Boise,43.59418957,-116.3389055
8,,WINTHROP,S,83709,1087,1087 S WINTHROP,,Boise,43.59514632,-116.3402
9,,WINTHROP,S,83709,1099,1099 S WINTHROP,,Boise,43.59492895,-116.340264
0,,WINTHROP,S,83709,1108,1108 S WINTHROP,,Boise,43.5949182,-116.3398726
1,,WINTHROP,S,83709,1115,1115 S WINTHROP,,Boise,43.59464335,-116.3401944
4,,WINTHROP,S,83709,1143,1143 S WINTHROP,,Boise,43.59456274,-116.3404391
3,,WINTHROP,S,83709,1130,1130 S WINTHROP,,Boise,43.59465378,-116.3397171
8,,WINTHROP,S,83709,1186,1186 S WINTHROP,,Boise,43.59449085,-116.3394966
4,,WINTHROP,S,83709,1147,1147 S WINTHROP,,Boise,43.5944031,-116.3405423
7,,WINTHROP,S,83709,1175,1175 S WINTHROP,,Boise,43.59431483,-116.3399856
6,,WINTHROP,S,83709,1161,1161 S WINTHROP,,Boise,43.59423083,-116.340401
6,,WINTHROP,S,83709,1169,1169 S WINTHROP,,Boise,43.59419948,-116.3401559
9,,WINTHROP,S,83709,1193,1193 S WINTHROP,,Boise,43.5942295,-116.3394619
2,,WINTHROP,S,83709,1021,1021 S WINTHROP,,Boise,43.5956672,-116.3400579
4,,WINTHROP,S,83709,1043,1043 S WINTHROP,,Boise,43.59549301,-116.340126
5,,LEWISBURG,W,83709,12504,12504 W LEWISBURG,,Boise,43.59507481,-116.3381248
4,,LEWISBURG,W,83709,12470,12470 W LEWISBURG,,Boise,43.59496366,-116.3379378
5,,LEWISBURG,W,83709,12583,12583 W LEWISBURG,,Boise,43.59552546,-116.3387461
5,,LEWISBURG,W,83709,12556,12556 W LEWISBURG,,Boise,43.59542818,-116.3384179
5,,LEWISBURG,W,83709,12569,12569 W LEWISBURG,,Boise,43.59530868,-116.3388879
5,,LEWISBURG,W,83709,12532,12532 W LEWISBURG,,Boise,43.59524443,-116.3382793
5,,LEWISBURG,W,83709,12551,12551 W LEWISBURG,,Boise,43.59519651,-116.3391317
5,,LEWISBURG,W,83709,12537,12537 W LEWISBURG,,Boise,43.59499313,-116.3391566
5,,LEWISBURG,W,83709,12529,12529 W LEWISBURG,,Boise,43.5948418,-116.3390078
6,,NORRISTOWN,W,83709,12632,12632 W NORRISTOWN,,Boise,43.59644233,-116.3397857
5,,NORRISTOWN,W,83709,12548,12548 W NORRISTOWN,,Boise,43.59643017,-116.3386863
1,,PIKESVILLE,S,83709,951,951 S PIKESVILLE,,Boise,43.59642313,-116.3365859
4,,NORRISTOWN,W,83709,12460,12460 W NORRISTOWN,,Boise,43.5964057,-116.3376444
5,,NORRISTOWN,W,83709,12544,12544 W NORRISTOWN,,Boise,43.5963784,-116.3384677
6,,PIKESVILLE,S,83709,946,946 S PIKESVILLE,,Boise,43.59637744,-116.3363513
6,,NORRISTOWN,W,83709,12620,12620 W NORRISTOWN,,Boise,43.59634328,-116.339493
